paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-base_acc,flan-t5-small_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
207,0.47,0.6,0.46,0.43,0.56,0.47,0.46,0.46,0.6,0.63,0.55,0.31,0.53,0.47,0.44,0.52
208,0.47,0.6,0.44,0.4,0.5,0.49,0.51,0.45,0.49,0.67,0.57,0.02,0.53,0.47,0.53,0.52
209,0.48,0.62,0.47,0.4,0.6,0.47,0.45,0.47,0.57,0.63,0.54,0.31,0.53,0.49,0.52,0.53
210,0.47,0.61,0.45,0.36,0.65,0.47,0.49,0.47,0.65,0.62,0.54,0.29,0.53,0.49,0.45,0.52
211,0.47,0.59,0.46,0.31,0.58,0.47,0.47,0.52,0.55,0.88,0.68,0.42,0.53,0.47,0.56,0.43
212,0.47,0.65,0.47,0.35,0.59,0.47,0.46,0.45,0.55,0.79,0.64,0.41,0.53,0.47,0.59,0.47
213,0.47,0.58,0.47,0.36,0.58,0.48,0.56,0.48,0.6,0.61,0.54,0.35,0.53,0.49,0.43,0.53
214,0.34,0.54,0.0,0.34,0.0,0.47,0.0,0.07,0.4,0.73,0.0,0.0,0.06,0.0,0.17,0.06
215,0.01,0.53,0.0,0.05,0.0,0.75,0.0,0.0,0.19,0.62,0.09,0.04,0.5,0.02,0.27,0.24
216,0.31,0.36,0.0,0.09,0.0,0.48,0.0,0.1,0.61,0.83,0.53,0.1,0.51,0.27,0.02,0.23
217,0.01,0.41,0.0,0.18,0.01,0.55,0.01,0.04,0.0,0.82,0.53,0.16,0.37,0.04,0.18,0.3
218,0.46,0.61,0.44,0.36,0.67,0.48,0.43,0.49,0.57,0.65,0.54,0.36,0.53,0.58,0.52,0.52
219,0.47,0.58,0.45,0.42,0.47,0.38,0.47,0.5,0.47,0.59,0.55,0.31,0.53,0.47,0.55,0.34
220,0.0,0.46,0.01,0.0,0.01,0.37,0.0,0.08,0.0,0.54,0.47,0.01,0.3,0.0,0.02,0.13
221,0.53,0.53,0.48,0.41,0.59,0.49,0.46,0.58,0.73,0.53,0.53,0.44,0.53,0.45,0.53,0.54
222,0.58,0.53,0.48,0.42,0.6,0.57,0.49,0.55,0.73,0.53,0.53,0.35,0.53,0.46,0.53,0.52
223,0.0,0.49,0.0,0.07,0.0,0.58,0.0,0.16,0.19,0.69,0.2,0.08,0.6,0.05,0.17,0.21
224,0.19,0.38,0.0,0.04,0.0,0.28,0.0,0.0,0.31,0.63,0.45,0.08,0.47,0.0,0.0,0.31
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.03,0.0,0.0,0.0
227,0.59,0.53,0.52,0.36,0.77,0.88,0.53,0.78,0.95,0.53,0.55,0.68,0.53,0.47,0.76,0.55
228,0.0,0.42,0.0,0.03,0.0,0.08,0.03,0.01,0.55,0.45,0.02,0.0,0.44,0.06,0.0,0.36
229,0.54,0.53,0.5,0.31,0.91,0.78,0.56,0.75,0.9,0.54,0.55,0.6,0.53,0.48,0.69,0.57
230,0.54,0.53,0.49,0.39,0.81,0.83,0.49,0.76,0.96,0.53,0.57,0.73,0.53,0.47,0.74,0.54
231,0.56,0.55,0.48,0.35,0.61,0.46,0.53,0.82,0.93,0.56,0.84,0.55,0.53,0.47,0.56,0.46
232,0.55,0.53,0.41,0.47,0.54,0.58,0.5,0.53,0.69,0.53,0.53,0.38,0.53,0.52,0.62,0.53
233,0.0,0.43,0.0,0.01,0.06,0.18,0.0,0.0,0.03,0.79,0.13,0.17,0.54,0.1,0.0,0.55
234,0.0,0.11,0.0,0.04,0.12,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.1,0.0,0.0,0.0
235,0.58,0.54,0.46,0.27,0.81,0.61,0.55,0.73,0.91,0.53,0.63,0.6,0.53,0.48,0.67,0.51
236,0.58,0.53,0.47,0.36,0.85,0.53,0.55,0.69,0.96,0.53,0.77,0.65,0.53,0.47,0.64,0.47
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,0.53,0.53,0.38,0.47,0.4,0.39,0.54,0.54,0.7,0.53,0.53,0.42,0.53,0.48,0.02,0.45
240,0.53,0.53,0.53,0.47,0.55,0.52,0.51,0.54,0.67,0.53,0.53,0.36,0.53,0.49,0.1,0.52
241,0.55,0.53,0.66,0.34,0.49,0.21,0.47,0.49,0.78,0.53,0.53,0.02,0.53,0.43,0.6,0.35
242,0.53,0.53,0.71,0.38,0.61,0.82,0.58,0.77,0.92,0.53,0.54,0.0,0.53,0.44,0.55,0.46
243,0.57,0.53,0.46,0.3,0.86,0.57,0.58,0.74,0.89,0.53,0.58,0.6,0.53,0.47,0.66,0.55
244,0.52,0.53,0.47,0.43,0.66,0.63,0.51,0.6,0.7,0.53,0.53,0.62,0.53,0.47,0.53,0.53
245,0.47,0.66,0.44,0.37,0.65,0.47,0.48,0.5,0.62,0.76,0.53,0.42,0.53,0.47,0.53,0.52
246,0.53,0.53,0.43,0.38,0.6,0.54,0.54,0.55,0.74,0.53,0.53,0.67,0.53,0.46,0.58,0.51
247,0.58,0.53,0.45,0.41,0.55,0.53,0.48,0.53,0.69,0.53,0.53,0.62,0.53,0.46,0.58,0.53
248,0.47,0.56,0.47,0.4,0.47,0.5,0.48,0.47,0.59,0.63,0.53,0.58,0.53,0.48,0.52,0.53
249,0.46,0.65,0.46,0.37,0.62,0.47,0.48,0.52,0.6,0.81,0.54,0.5,0.53,0.47,0.53,0.53
250,0.47,0.64,0.38,0.45,0.49,0.47,0.47,0.49,0.49,0.69,0.77,0.28,0.53,0.47,0.58,0.42
251,0.47,0.62,0.47,0.59,0.56,0.64,0.47,0.53,0.62,0.54,0.64,0.3,0.53,0.47,0.53,0.42
252,0.01,0.52,0.0,0.02,0.0,0.57,0.0,0.07,0.04,0.54,0.22,0.07,0.39,0.02,0.21,0.07
253,0.28,0.49,0.0,0.06,0.04,0.28,0.0,0.05,0.56,0.59,0.3,0.02,0.52,0.0,0.0,0.14
254,0.4,0.46,0.0,0.08,0.01,0.31,0.0,0.05,0.36,0.58,0.19,0.04,0.46,0.0,0.01,0.16
255,0.48,0.63,0.47,0.38,0.63,0.47,0.52,0.44,0.6,0.78,0.54,0.48,0.53,0.47,0.53,0.53
256,0.26,0.57,0.0,0.13,0.0,0.17,0.0,0.15,0.37,0.54,0.0,0.01,0.05,0.01,0.18,0.04
257,0.55,0.53,0.43,0.45,0.6,0.53,0.5,0.59,0.71,0.53,0.53,0.58,0.53,0.47,0.65,0.52
258,0.59,0.53,0.45,0.41,0.6,0.51,0.56,0.54,0.7,0.53,0.53,0.63,0.53,0.47,0.65,0.51
259,0.0,0.32,0.0,0.01,0.03,0.12,0.0,0.0,0.11,0.64,0.0,0.18,0.53,0.03,0.0,0.33
